Index ,Name,Rating,Current_Price,Original_Price,Discount,Features
0,"FOXSKY 7.5 kg Semi Automatic Top Load Washing Machine White, Maroon",4.1,"₹6,990","₹16,490",57%,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor
1,"Intex 7.5 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Au...",4.3,"₹7,490","₹13,499",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
2,"Intex 6.5 kg With Air Dry Technology, Wave Pulsator Design, Magic Filter Transparent Lid Semi Automati...",4.3,"₹6,990","₹11,499",39%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
3,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load W...",4.4,"₹11,490","₹14,190",19%,1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG
4,"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey",4.3,"₹12,990","₹22,000",40%,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier
5,"SAMSUNG 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"₹17,490","₹21,500",18%,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor"
6,SAMSUNG 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"₹15,690","₹19,800",20%,680 rpm Max Speed3 Star Rating2 year comprehensive warranty on the product
7,"Intex 7 kg With Lint Filter, Buzzer, Castor Wheel with pad, Collar Scrubber ,Transparent Lid Semi Auto...",4.3,"₹7,190","₹12,999",44%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
8,"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...",4.3,"₹17,490","₹20,990",16%,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG
9,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,"₹9,990","₹13,550",26%,1400 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty and 5 Years Warranty on Motor
10,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Mach...",4.3,"₹8,590","₹14,999",42%,1300 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor
11,Thomson 7 kg PureWash Fully Automatic Top Load Washing Machine Grey,4,"₹11,499","₹16,999",32%,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor
